"","Cluster","fac_1","fac_2","fac_3","fac_4"
"1",1,4.27469605515454,6.94936579581584,-2.85190818244151,-4.58609692133664
"2",1,3.32537909408788,5.10747074974855,-0.991533945931343,-2.49023019063832
"3",3,3.75850022263326,-4.39619384830927,-0.621652988462112,2.91984282838259
"4",2,8.32081445634886,-0.858974184411303,0.92234742749752,-3.16237639853501
"5",4,-15.1768541804322,-10.7378937263024,5.44991297361133,3.7399573632696
"6",1,1.96371079625478,7.74968975558969,-3.35186317279462,-0.410919031393205
"7",1,4.86495864105124,9.39258947721309,-5.51476381944374,0.74820213698041
"8",1,7.20188775934674,9.52410336540535,-4.63710217038883,-3.31954359906315
"9",2,3.67497075775188,0.083857606047776,3.08152795726423,-7.08602394677596
"10",1,5.95561016482426,8.80843615067469,-3.18169168531471,-0.0362867789290559
"11",4,-10.3603366355988,-6.14735966933322,3.53532096368156,3.21573416528022
"12",2,1.76267962900029,-3.36198560409984,-3.15274631177691,-3.57714877971835
"13",2,3.06419516653053,5.62550190661227,4.77209335723223,1.76837720630026
"14",2,-0.166383090090688,4.56158942015775,-4.32387154361372,5.8889022046916
"15",3,-4.84200768597767,-5.43934429416001,2.69480849788922,3.06946222571073
"16",4,-6.55062302645971,-10.5005339157879,4.53660239505407,5.00569668955211
"17",2,2.88417767679638,0.20267437099947,0.829507083383475,3.63842443904162
"18",3,3.08257285578749,-2.61980272303358,-0.242352367028481,5.0522130039936
"19",3,4.38579099241656,-10.5940371808779,5.67858582622698,-0.724577779490393
"20",1,7.00886593417058,13.5942866803831,-3.07984797925123,-1.90999787937786
"21",2,4.91128673230344,-1.99660142977136,-5.52248828292136,0.669769847324362
"22",1,11.3596651847447,6.02312468190005,2.67137959917639,-2.78903725438082
"23",2,3.27853572321295,-0.0486077011594405,-0.726251188045103,-1.22174185260821
"24",4,-7.682323921084,-3.93676707026635,-1.52223979569714,-3.48720403421293
"25",4,-9.16500484849986,-9.26743802086387,4.49886120391758,2.69099167905079
"26",3,6.5892871558805,-11.937253473381,4.07906007353127,-4.5532920053811
"27",2,-2.07805293193048,4.86631726238474,-2.6276970058988,4.7397079301205
"28",2,3.09318296805411,1.35929703206134,-5.96663216783572,-0.129543417482825
"29",2,1.15084535056016,1.448633548934,-3.28754410611788,-3.99457171987677
"30",4,-6.55502968778479,-4.87423289758394,-1.08879031460671,-0.400962344402305
"31",2,2.71220742249577,1.76316651315937,-4.12336923244301,0.877940331329928
"32",1,9.12871188454484,4.69854099128897,-5.9599636369048,0.39986838523816
"33",2,-1.94184287207991,4.9729293391796,1.63007455320622,4.00293075587813
"34",3,0.724252128344019,-9.87565113966875,7.33337200180285,2.57402468134471
"35",1,1.10420644154069,16.9918274901781,-5.07861231806025,-2.8657836742165
"36",1,7.3941438583321,7.87131316586621,-7.17045804852171,-2.41622918212545
"37",2,1.43308625136338,-4.5390693768454,-6.97820077964877,-3.23307144379423
"38",3,3.41804554006086,-3.67066908046921,4.81960694377883,4.7350946403061
"39",4,-7.42161060859734,2.72862630455835,1.41891800638269,4.88333579308327
"40",3,-4.07479687236792,-1.9714064110741,5.22631204261737,1.35583404142423
